RefSeqID	K4me1_Distal_promoter	K4me1_Proximal_promoter	K4me1_Gene_body	K4me1_Transcript	K4me1_First1.3Transcript	K4me1_Middle1.3Transcript	K4me1_Last1.3Transcript	K4me1_Introns	K79me2_Distal_promoter	K79me2_Proximal_promoter	K79me2_Gene_body	K79me2_Transcript	K79me2_First1.3Transcript	K79me2_Middle1.3Transcript	K79me2_Last1.3Transcript	K79me2_Introns	K27ac_Distal_promoter	K27ac_Proximal_promoter	K27ac_Gene_body	K27ac_Transcript	K27ac_First1.3Transcript	K27ac_Middle1.3Transcript	K27ac_Last1.3Transcript	K27ac_Introns	K27me3_Distal_promoter	K27me3_Proximal_promoter	K27me3_Gene_body	K27me3_Transcript	K27me3_First1.3Transcript	K27me3_Middle1.3Transcript	K27me3_Last1.3Transcript	K27me3_Introns	K36me3_Distal_promoter	K36me3_Proximal_promoter	K36me3_Gene_body	K36me3_Transcript	K36me3_First1.3Transcript	K36me3_Middle1.3Transcript	K36me3_Last1.3Transcript	K36me3_Introns	K4me2_Distal_promoter	K4me2_Proximal_promoter	K4me2_Gene_body	K4me2_Transcript	K4me2_First1.3Transcript	K4me2_Middle1.3Transcript	K4me2_Last1.3Transcript	K4me2_Introns	K4me3_Distal_promoter	K4me3_Proximal_promoter	K4me3_Gene_body	K4me3_Transcript	K4me3_First1.3Transcript	K4me3_Middle1.3Transcript	K4me3_Last1.3Transcript	K4me3_Introns	K9ac_Distal_promoter	K9ac_Proximal_promoter	K9ac_Gene_body	K9ac_Transcript	K9ac_First1.3Transcript	K9ac_Middle1.3Transcript	K9ac_Last1.3Transcript	K9ac_Introns	K9me3_Distal_promoter	K9me3_Proximal_promoter	K9me3_Gene_body	K9me3_Transcript	K9me3_First1.3Transcript	K9me3_Middle1.3Transcript	K9me3_Last1.3Transcript	K9me3_Introns	K20me1_Distal_promoter	K20me1_Proximal_promoter	K20me1_Gene_body	K20me1_Transcript	K20me1_First1.3Transcript	K20me1_Middle1.3Transcript	K20me1_Last1.3Transcript	K20me1_Introns
NR_046018	0	2.63905732961526	4.17438726989564	4.11087386417331	2.39789527279837	3.68887945411394	1.09861228866811	1.6094379124341	0.693147180559945	2.39789527279837	2.83321334405622	2.484906649788	1.38629436111989	1.38629436111989	0.693147180559945	1.79175946922805	3.04452243772342	3.46573590279973	3.49650756146648	3.25809653802148	2.30258509299405	2.07944154167984	1.09861228866811	2.07944154167984	1.09861228866811	1.94591014905531	1.38629436111989	0.693147180559945	0.693147180559945	0	0	1.09861228866811	1.94591014905531	2.89037175789616	3.43398720448515	3.09104245335832	2.19722457733622	1.94591014905531	0.693147180559945	2.30258509299405	1.09861228866811	2.77258872223978	2.56494935746154	2.484906649788	1.79175946922805	1.6094379124341	0.693147180559945	0.693147180559945	1.6094379124341	2.484906649788	2.484906649788	2.39789527279837	0.693147180559945	2.19722457733622	0	0.693147180559945	1.79175946922805	2.63905732961526	3.04452243772342	2.83321334405622	1.09861228866811	2.39789527279837	0.693147180559945	1.6094379124341	2.77258872223978	4.12713438504509	3.66356164612965	3.3322045101752	2.94443897916644	1.38629436111989	0.693147180559945	2.484906649788	1.09861228866811	2.19722457733622	2.30258509299405	2.19722457733622	1.6094379124341	0.693147180559945	0	0.693147180559945
NR_024540	3.17805383034795	4.45434729625351	5.53338948872752	3.52636052461616	3.29583686600433	1.09861228866811	1.94591014905531	5.39362754635236	2.99573227355399	3.40119738166216	6.24997524225948	2.77258872223978	1.79175946922805	0.693147180559945	2.30258509299405	6.22059017009974	3.98898404656427	4.36944785246702	5.62040086571715	2.99573227355399	2.07944154167984	0.693147180559945	2.56494935746154	5.54907608489522	1.79175946922805	2.07944154167984	2.99573227355399	1.09861228866811	0.693147180559945	0	0.693147180559945	2.89037175789616	2.99573227355399	3.68887945411394	5.55295958492162	3.13549421592915	2.19722457733622	2.30258509299405	2.07944154167984	5.46383180502561	2.63905732961526	3.2188758248682	5.40717177146012	3.29583686600433	2.19722457733622	0.693147180559945	2.94443897916644	5.28320372873799	2.70805020110221	3.04452243772342	4.9416424226093	2.19722457733622	1.6094379124341	0	1.6094379124341	4.88280192258637	2.99573227355399	3.87120101090789	6.21260609575152	4.20469261939097	2.39789527279837	1.38629436111989	3.98898404656427	6.07073772800249	4.06044301054642	4.23410650459726	4.17438726989564	2.07944154167984	1.6094379124341	1.09861228866811	0.693147180559945	4.06044301054642	2.39789527279837	2.89037175789616	4.46590811865458	2.07944154167984	1.38629436111989	0.693147180559945	1.38629436111989	4.38202663467388
NR_106918	4.51085950651685	4.66343909411207	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0	0	3.09104245335832	3.43398720448515	1.09861228866811	1.09861228866811	0.693147180559945	1.09861228866811	0.693147180559945	0	3.87120101090789	4.04305126783455	1.09861228866811	1.09861228866811	1.09861228866811	0.693147180559945	0	0	1.79175946922805	1.94591014905531	0	0	0	0	0	0	3.8286413964891	4.4188406077966	1.79175946922805	1.79175946922805	0	1.6094379124341	1.79175946922805	0	3.09104245335832	3.25809653802148	0.693147180559945	0.693147180559945	0.693147180559945	0	0	0	2.63905732961526	2.89037175789616	0	0	0	0	0	0	3.68887945411394	3.78418963391826	0	0	0	0	0	0	3.13549421592915	3.3322045101752	0	0	0	0	0	0	2.70805020110221	2.99573227355399	0	0	0	0	0	0
NR_107062	4.51085950651685	4.66343909411207	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0	0	3.09104245335832	3.43398720448515	1.09861228866811	1.09861228866811	0.693147180559945	1.09861228866811	0.693147180559945	0	3.87120101090789	4.04305126783455	1.09861228866811	1.09861228866811	1.09861228866811	0.693147180559945	0	0	1.79175946922805	1.94591014905531	0	0	0	0	0	0	3.8286413964891	4.4188406077966	1.79175946922805	1.79175946922805	0	1.6094379124341	1.79175946922805	0	3.09104245335832	3.25809653802148	0.693147180559945	0.693147180559945	0.693147180559945	0	0	0	2.63905732961526	2.89037175789616	0	0	0	0	0	0	3.68887945411394	3.78418963391826	0	0	0	0	0	0	3.13549421592915	3.3322045101752	0	0	0	0	0	0	2.70805020110221	2.99573227355399	0	0	0	0	0	0
NR_107063	4.51085950651685	4.66343909411207	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0	0	3.09104245335832	3.43398720448515	1.09861228866811	1.09861228866811	0.693147180559945	1.09861228866811	0.693147180559945	0	3.87120101090789	4.04305126783455	1.09861228866811	1.09861228866811	1.09861228866811	0.693147180559945	0	0	1.79175946922805	1.94591014905531	0	0	0	0	0	0	3.8286413964891	4.4188406077966	1.79175946922805	1.79175946922805	0	1.6094379124341	1.79175946922805	0	3.09104245335832	3.25809653802148	0.693147180559945	0.693147180559945	0.693147180559945	0	0	0	2.63905732961526	2.89037175789616	0	0	0	0	0	0	3.68887945411394	3.78418963391826	0	0	0	0	0	0	3.13549421592915	3.3322045101752	0	0	0	0	0	0	2.70805020110221	2.99573227355399	0	0	0	0	0	0
NR_128720	4.51085950651685	4.66343909411207	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	0	0	3.09104245335832	3.43398720448515	1.09861228866811	1.09861228866811	0.693147180559945	1.09861228866811	0.693147180559945	0	3.87120101090789	4.04305126783455	1.09861228866811	1.09861228866811	1.09861228866811	0.693147180559945	0	0	1.79175946922805	1.94591014905531	0	0	0	0	0	0	3.8286413964891	4.4188406077966	1.79175946922805	1.79175946922805	0	1.6094379124341	1.79175946922805	0	3.09104245335832	3.25809653802148	0.693147180559945	0.693147180559945	0.693147180559945	0	0	0	2.63905732961526	2.89037175789616	0	0	0	0	0	0	3.68887945411394	3.78418963391826	0	0	0	0	0	0	3.13549421592915	3.3322045101752	0	0	0	0	0	0	2.70805020110221	2.99573227355399	0	0	0	0	0	0
NR_036051	4.17438726989564	5.28826703069454	2.07944154167984	2.07944154167984	1.6094379124341	2.07944154167984	1.38629436111989	0	5.89715386763674	6.11146733950268	2.19722457733622	2.19722457733622	1.79175946922805	1.09861228866811	1.38629436111989	0	5.15905529921453	6.26339826259162	3.04452243772342	3.04452243772342	1.38629436111989	1.94591014905531	2.63905732961526	0	1.94591014905531	2.30258509299405	0	0	0	0	0	0	4.26267987704132	4.44265125649032	1.38629436111989	1.38629436111989	1.38629436111989	1.38629436111989	0	0	5.23644196282995	5.98141421125448	1.94591014905531	1.94591014905531	1.09861228866811	0.693147180559945	1.6094379124341	0	4.70953020131233	5.32300997913841	1.79175946922805	1.79175946922805	1.38629436111989	1.38629436111989	1.09861228866811	0	6.04973345523196	6.6052979209482	3.13549421592915	3.13549421592915	2.30258509299405	2.83321334405622	2.484906649788	0	2.99573227355399	3.61091791264422	1.09861228866811	1.09861228866811	1.09861228866811	0	0	0	2.94443897916644	3.43398720448515	0	0	0	0	0	0
NR_036266	4.17438726989564	5.28826703069454	2.07944154167984	2.07944154167984	1.6094379124341	2.07944154167984	1.38629436111989	0	5.89715386763674	6.11146733950268	2.19722457733622	2.19722457733622	1.79175946922805	1.09861228866811	1.38629436111989	0	5.15905529921453	6.26339826259162	3.04452243772342	3.04452243772342	1.38629436111989	1.94591014905531	2.63905732961526	0	1.94591014905531	2.30258509299405	0	0	0	0	0	0	4.26267987704132	4.44265125649032	1.38629436111989	1.38629436111989	1.38629436111989	1.38629436111989	0	0	5.23644196282995	5.98141421125448	1.94591014905531	1.94591014905531	1.09861228866811	0.693147180559945	1.6094379124341	0	4.70953020131233	5.32300997913841	1.79175946922805	1.79175946922805	1.38629436111989	1.38629436111989	1.09861228866811	0	6.04973345523196	6.6052979209482	3.13549421592915	3.13549421592915	2.30258509299405	2.83321334405622	2.484906649788	0	2.99573227355399	3.61091791264422	1.09861228866811	1.09861228866811	1.09861228866811	0	0	0	2.94443897916644	3.43398720448515	0	0	0	0	0	0
NR_036267	4.17438726989564	5.28826703069454	2.07944154167984	2.07944154167984	1.6094379124341	2.07944154167984	1.38629436111989	0	5.89715386763674	6.11146733950268	2.19722457733622	2.19722457733622	1.79175946922805	1.09861228866811	1.38629436111989	0	5.15905529921453	6.26339826259162	3.04452243772342	3.04452243772342	1.38629436111989	1.94591014905531	2.63905732961526	0	1.94591014905531	2.30258509299405	0	0	0	0	0	0	4.26267987704132	4.44265125649032	1.38629436111989	1.38629436111989	1.38629436111989	1.38629436111989	0	0	5.23644196282995	5.98141421125448	1.94591014905531	1.94591014905531	1.09861228866811	0.693147180559945	1.6094379124341	0	4.70953020131233	5.32300997913841	1.79175946922805	1.79175946922805	1.38629436111989	1.38629436111989	1.09861228866811	0	6.04973345523196	6.6052979209482	3.13549421592915	3.13549421592915	2.30258509299405	2.83321334405622	2.484906649788	0	2.99573227355399	3.61091791264422	1.09861228866811	1.09861228866811	1.09861228866811	0	0	0	2.94443897916644	3.43398720448515	0	0	0	0	0	0
NR_036268	4.17438726989564	5.28826703069454	2.07944154167984	2.07944154167984	1.6094379124341	2.07944154167984	1.38629436111989	0	5.89715386763674	6.11146733950268	2.19722457733622	2.19722457733622	1.79175946922805	1.09861228866811	1.38629436111989	0	5.15905529921453	6.26339826259162	3.04452243772342	3.04452243772342	1.38629436111989	1.94591014905531	2.63905732961526	0	1.94591014905531	2.30258509299405	0	0	0	0	0	0	4.26267987704132	4.44265125649032	1.38629436111989	1.38629436111989	1.38629436111989	1.38629436111989	0	0	5.23644196282995	5.98141421125448	1.94591014905531	1.94591014905531	1.09861228866811	0.693147180559945	1.6094379124341	0	4.70953020131233	5.32300997913841	1.79175946922805	1.79175946922805	1.38629436111989	1.38629436111989	1.09861228866811	0	6.04973345523196	6.6052979209482	3.13549421592915	3.13549421592915	2.30258509299405	2.83321334405622	2.484906649788	0	2.99573227355399	3.61091791264422	1.09861228866811	1.09861228866811	1.09861228866811	0	0	0	2.94443897916644	3.43398720448515	0	0	0	0	0	0
